Module,Question (English),Answer (English),Service,Question (Arabic),Answer (Arabic),Keywords
Registration,What should I do if I face technical issues during registration?,Contact customer support at support@dubailand.gov.ae for assistance with technical issues.,DLD Business User SSO,,,
Registration,My phone number is incorrect or missing. What should i do,Contact the emirates id authority to update your phone number. We are not authorized to change the phone number associated with your emirates id,DLD Business User SSO,,,
Registration,What if I get account already exists message,Try to login or try forgot password from login page,DLD Business User SSO,,,
Login,What if I didn’t receive an OTP,Please verify that you have entered the right mobile number and email address. If the issue persist then contact at support@dubailand.gov.ae,DLD Business User SSO,,,
Login,How can I Login as Business User,"You can log in to the portal using your  UserId/Password, Emirates ID or UAE Pass, which provides a secure and easy method of authentication for business users.",DLD Business User SSO,,,
Login,How do I log in using my Emirates ID?,"Go to Login page, select Emirates ID, enter you emirates Id. A pass code will be send to your registered mobile number / email address, Enter it and press Verify. Pass code will be valid for 30 days",DLD Business User SSO,,,
Login,What if I forgot my pass code?,You can click on resend to regenerate your pass code from pass code verification screen,DLD Business User SSO,,,
Login,What is UAE Pass and how do I use it to log in?,"UAE Pass is a digital identity solution provided by the UAE government, allowing users to authenticate themselves securely across various government portals. To log in using UAE Pass. Select the UAE Pass login option on login page. It will open UAE Pass login page. Enter your emirates Id or mobile number and click on login. Open your UAE Pass app on your mobile device. and grant access to the portal.",DLD Business User SSO,,,
Login,Can I use both Emirates ID and UAE Pass to log in?,Yes you can use both.,DLD Business User SSO,,,
Login,What should I do if I encounter issues while logging in with my Emirates ID or UAE Pass,For Emirates ID: Ensure that you have entered a correct number,DLD Business User SSO,,,
Login,I am unable to log in. What should I do?,"If you are unable to log in, try the following:",DLD Business User SSO,,,
Login,What do I do if I forgot my username?,"If you have forgotten your username, use the “Forgot Username” option on the login page",DLD Business User SSO,,,
Login,How do I reset my password,To reset your password:,DLD Business User SSO,,,
Public Service,Where can I find available Real Estate services Trustee Center?,You can visit below link to get list of all Real estate services trustee center.,DLD Website,,,
Public Service,What is Issuing a certificate of the customer's real estate statement application (To Whom It May Concern)?,"This service allows applying to issue a certificate of the customer's real estate statement or real estate management requirements compliance certificate, based on their application.",DLD Website,,,
Public Service,"Where can I apply for ""To Whom It May Concern""?","Via a service center Step I: A customer will move to a service center - Real Estate Services Trustee Centers Step II: A customer presents the UAE ID card to the employee Step III: The transaction details will be entered into the system by an employee and shall be audited and approved Step IV: A customer will pay the fees and receive a payment receipt Step V: To Whom It May Concern Certificate will be received by the customer Via the App or website of the Land Department Step I: Signing up and creating an account (if the customer signs up for the first time) or log in and selecting the user type Step II: Selecting the service, filling in the details Step III: Selecting the payment method and paying the fees Step IV: Receiving the outputs electronically (On-line ).",DLD Website,,,
Public Service,"What documents are required to apply for ""To Whom It May Concern""?",You will need following documents:,DLD Website,,,
Public Service,"What is the fees for ""To Whom It May Concern""",Via Real Estate Services Trustee Centers AED 120 including AED 50 for service partner fees + VAT for service partners fees,DLD Website,,,
Public Service,What are the supported payment methods for DLD Website services,Cash Credit card ePay,DLD Website,,,
Public Service,"How much time it will take to complete the process for ""To Whom It May Concern"" and get the NOC?",It usually takes 10 Minutes and you will receive the following output:,DLD Website,,,
Pubic Service,What to do If I am unable to see my NOC in my requests?,Please make sure you have completed the payment. After the payment if you are still unable to find it then email to support@dubailand.gov.ae,DLD Website,,,
Public Service,What is Dubai rental index service?,This service allows a customer to calculate the rental increase and the average rental in the real estate market by entering data for the required area.,DLD Website,,,
Public Service,How can I Inquire about the rental index ?,You can visit Dubai land website (https://dubailand.gov.ae/en/eservices/rental-index/#/),DLD Website,,,
Public Service,Is there any fees applicable to check the rental index?,"No, this service is free of cost.",DLD Website,,,
Public Service,What If I am unable to find my area or property information rental index service?,Kindly email to support@dubailand.gov.ae with all information and evidences.,DLD Website,,,
Public Service,What if my landlord is asking for rent more than shown in the rental index calculator?,You can file the case in Rental Dispute center.,DLD Website,,,
Dubai Broker,Who is the broker?,"An individual who holds a commercial license for real estate brokerage activity and is registered in the Brokers Registry  to carry out real estate activities in the Emirate of Dubai, and whereby is allowed to conclude and complete deals or contracts in return for a certain fee agreed upon in advance with the client. There are two types of brokers (broker in real estate sales / broker in real estate rental). The broker must be registered in the brokers register and hold a broker card from the Real Estate Regulatory Agency. The role of the broker is concerned with preparing the matters related to the sale between the owner and the buyer, or the owner and the lessee, in return for a specific commission agreed upon by the two parties.",Dubai Broker,,,
Dubai Broker,What are the working terms for brokers?,"The conditions for working in the field of real estate brokerage are: having a real estate brokerage license, registration in the brokers registry to obtain an office registration certificate, having a broker card, in addition to complying with the rules and regulations.",Dubai Broker,ما هي شروط العمل في مجال الوساطة العقارية؟,شروط العمل في مجال الوساطة العـقـاريـة هي: وجـود رخـصـة وسـاطـة عـقـاريـة، التسجيل في سجل الوسطاء للحصول على شهادة تسجيل المكتب، والحصول على بطاقة الوسيط، إضافة إلى الالتزام بالقواعد واللوائح. ,
Dubai Broker,Can individuals work as real estate brokers?,No individual has the right to practice real estate brokerage unless he applies for a license to practice through the relevant authority of the Real Estate Regulatory Agency.,Dubai Broker,,,
Dubai Broker,What to do if broker is unable to receive the token on login using registered mobile number?,Broker can a raise a support ticket at https://dubailand.gov.ae/en/contact-us/raise-a-support-request/.,Dubai Broker,,,login using registered mobile
Dubai Broker,What is the maximum duration for Contract A while creating the contract?,The maximum duration for contract A at the time of contract creation is 1 year or 365 days.,Dubai Broker,,,duration for Contract A
Dubai Broker,What is the maximum duration for Contract B while creating the contract?,The maximum duration for contract B at the time of contract creation is 1 year or 365 days.,Dubai Broker,,,duration for Contract B
Dubai Broker,What is the maximum duration for ContractF while creating the contract?,The maximum duration for contract F at the time of contract creation is 6 months or 180 days.,Dubai Broker,,,duration for ContractF
Dubai Broker,Can more then one broker from the same company create contract A on same property?,"No, only one broker from a specific company is allowed to create a Contract A on a property.",Dubai Broker,,,contract A on same property
Dubai Broker,Is there any limit on broker commission?,"There is no limit on broker commission if the broker enters the Amount, but there is a limit of 20% if the broker enters the commission in percentage.",Dubai Broker,,, limit on broker commission
Dubai Broker,Who can cancel the contract?,Broker and the contract parties can initiate the contract cancellation.,Dubai Broker,,,
Dubai Broker,Can Approved contract be cancelled?,Yes broker and any party can initiate the contract cancellation on Approved contract.,Dubai Broker,,,
Dubai Broker,Who will pay the DLD fee?,The DLD fee will be paid by the party agreed upon in the contract.,Dubai Broker,,,
Dubai Broker,Who will pay the broker commission?,The broker commission will be paid by the party agreed upon in the contract.,Dubai Broker,,,broker commission
Dubai Broker,What to do if the contract party did not receive signature link?,Broker can resend the signature link using the Resend link button on contract detail page.,Dubai Broker,,,
Dubai Broker,Can Approved Contract F be extended?,"Yes, Approved Contract F can be extended but the total duration of the contract F from contract start date should not exceed 9 month or 273 days.",Dubai Broker,,,
Dubai Broker,Can Approved Contract F be cancelled?,"Yes, contract cancellation can be initiated on Approved Contract F.",Dubai Broker,,,
Dubai Broker,Can Expired Contract F be extended?,"Yes, Expired Contract F can be extended but the total duration of the contract F from contract start date should not exceed 9 month or 280 days.",Dubai Broker,,,
Dubai Broker,Can broker edit and resubmit the contract once rejected by the company Admin?,"Yes, broker can edit the contract and resubmit after rejection by the company Admin.",Dubai Broker,,,
Dubai Broker,How many contract A can be Approved at the same time for single property?,There could be only 3 contract A Approved for a single property at the same time,Dubai Broker,,,
Dubai Broker,What is contract auto cancellation?,"If the contract party or broker do not take required action on pending contract, then system will mark the contract with Auto-Cancelled status.",Dubai Broker,,,auto cancellation
Dubai Broker,Can owner initiate the contract A on his property?,"Yes, the owner can create contract A with the broker on his property through Dubai Rest mobile app. If the property has multiple owners then rest of the owner have to accept the contract and contract will be sent to broker for approval.",Dubai Broker,,,
Dubai Broker,Who can create contract F?,Only broker can create contract F.,Dubai Broker,,,create contract F
Dubai Broker,Can contract party initiate contract cancellation?,"Yes, any of the contract party can initiate contract cancellation, but approval from the other parties and the broker is required for contract cancellation.",Dubai Broker,,,contract cancellation
Dubai Broker,Can contract party edit the contract.,"No, contract party is not allowed to edit the contract. Only broker can edit the contract.",Dubai Broker,,,edit the contract
Dubai Broker,What is the password for contract downloaded PDF document?,Contract's expiration date in the format DDMMYYYY.,Dubai Broker,,,contract downloaded
Dubai Broker,What will happen if any of the party do not take action on pending contract?,The contract will be marked auto cancelled if any of the party do not take action within 5 days.,Dubai Broker,,,pending contract
Dubai Broker,What to do if the party is unable to get the OTP on contract signature page.,The party can approve the contract using UAE pass as well. Make sure the contact number provided in contract details should match with the UAE pass. If UAE pass is also not working then raise a support request at https://dubailand.gov.ae/en/contact-us/raise-a-support-request/.,Dubai Broker,,,OTP on contract signature page
Dubai Broker,Can contract broker be changed?,"Yes, the contract broker can be changed and only company admins are allowed to change broker and the new broker must be from the same company.",Dubai Broker,,,
Login,My phone number is incorrect or missing. What should I do,Contact the Emirates ID authority to update your phone number. We are not authorized to change the phone number associated with your Emirates ID,Dubai REST,رقم هاتفي غير صحيح أو مفقود. ماذا أفعل؟,اتصل بالهيئة الاتحادية للهوية والجنسيّة لتحديث رقم هاتفك. غير مصرح لنا تغيير رقم هاتفك المرتبط بهوية الإمارات,"phone, missing, login, mobile"
Login,What if you find multiple profiles against your Emirates ID?,"Please contact call center or raise support ticket in DLD website with your details, and we will get back to you as soon as possible. Alternatively, you could also visit one of our real estate services trustee centers to update your contact details.",Dubai REST,ماذا لو وجدت ملفات تعريف متعددة على بطاقة الهوية الإماراتية الخاصة بك؟,يرجى التواصل مع مركز الاتصال أو تقديم طلب دعم عبر موقع دائرة الأراضي والأملاك مع تقديم تفاصيلك، وسنقوم بالرد عليك في أقرب وقت ممكن. بدلاً من ذلك، يمكنك أيضًا زيارة أحد مراكز أمناء الخدمات العقارية لتحديث بيانات الاتصال الخاصة بك.,"multiple, profile, emiratesid"
Register,What if you haven’t received an OTP?,"Please verify that you have entered the right mobile number and email address. If you have, please contact call center or raise support ticket in DLD website.",Dubai REST,ماذا لو لم تستلم كلمة المرور لمرة واحدة؟,يرجى التحقق من إدخال رقم الهاتف المحمول وعنوان البريد الإلكتروني الصحيحين. إذا كنت قد قمت بذلك، يرجى التواصل مع مركز الاتصال أو تقديم طلب دعم عبر موقع دائرة الأراضي والأملاك.,"login, otp, mobile, phone"
Register,"After entering emirates ID for registration, next mobile number is showing incorrect in profile.",Contact the Emirates ID authority to update your phone number. We are not authorized to change the phone number associated with your Emirates ID,Dubai REST,بعد إدخال رقم الهوية الإماراتية للتسجيل، يظهر رقم الهاتف المحمول التالي بشكل غير صحيح في الملف الشخصي.,يرجى التواصل مع الهيئة الاتحادية للهوية والجنسية والجمارك لتحديث رقم هاتفك. نحن غير مخولين بتغيير رقم الهاتف المرتبط بهويتك الإماراتية.,"register, mobile, phone"
Register,"After newly register and login in system, Which accessing any service getting error ""Email not verified"".","Once you register the system with Emirates ID option,",Dubai REST,بعد التسجيل الجديد وتسجيل الدخول في النظام، عند محاولة الوصول إلى أي خدمة تظهر رسالة خطأ: “البريد الإلكتروني غير مفعل”.,عند التسجيل في النظام باستخدام خيار بطاقة الهوية الإماراتية،,"register, emiratesid, email, verify, login"
Generic,Is there any virtual assistant in Dubai REST?,"Yes, Dubai REST use Ask Malik innovative tool for search most FAQs of the app.",Dubai REST,هل يوجد مساعد افتراضي في تطبيق دبي ريست؟,نعم، يستخدم تطبيق دبي ريست أداة مبتكرة تُدعى اسأل مالك للبحث في أكثر الأسئلة شيوعاً داخل التطبيق.,"virtual, assistant, ask-malik, query"
Generic,"What is the ""Frequently used Services"" in the app?",The services which are mostly viewed by the individual app user.,Dubai REST,ما هي “الخدمات الأكثر استخداما” في التطبيق؟,الخدمات التي يتم الاطلاع عليها بشكل متكرر من قبل مستخدم التطبيق الفردي.,"frequent, service, usage"
Generic,Is my personal data secure on the Dubai REST app?,"Yes, the Dubai REST app follows stringent security protocols to ensure that your personal and transaction data is protected. It uses encryption and secure login methods, such as OTP (One-Time Password) and biometric authentication like UAE pass support government authentication method, to safeguard your information.",Dubai REST,هل بياناتي الشخصية آمنة على تطبيق دبي ريست؟,نعم، بياناتك الشخصية آمنة على تطبيق دبي ريست. يتبع التطبيق تدابيرا أمنية صارمة ويلتزم بلوائح حماية البيانات لضمان التعامل مع معلوماتك بأمان وسرية. يتم تشفير وتخزين أي تفاصيل شخصية تقدمها مثل رقم الهوية الإماراتية أو معلومات الاتصال بشكل آمن لمنع الوصول غير المصرح به. ومع ذلك، يُوصى دائمًا باتباع أفضل الممارسات، مثل الحفاظ على سرية بيانات الدخول والإبلاغ عن أي نشاط مشبوه.,"secure, personal, otp, biometric authentication, uaepass, government, safe"
Generic,Who can use the Dubai REST app?,Property owners Real estate brokers Investors Tenants Developers,Dubai REST,من يمكنه استخدام تطبيق دبي ريست؟,ملاك العقار," owner, broker, investor, tenant, developer"
Generic,How can I download the Dubai REST app?,"The Dubai REST app is available for download on both iOS, Android and Huawei devices. You can find it on the Apple App Store and Google Play Store, Huawei app gallery by searching for ""Dubai REST.""",Dubai REST,كيف يمكنني تنزيل تطبيق دبي رسيت؟,تطبيق دبي رسيت متاح للتنزيل على أجهزة iOS و Android و Huawei. يمكنك العثور عليه في متجر Apple App Store و Google Play Store و معرض تطبيقات Huawei من خلال البحث عن “Dubai REST”.," ios, android, huawei, app, download"
Generic,What services are available on the Dubai REST app?,"The app offers a wide range of services, including:",Dubai REST,ما هي الخدمات المتوفرة في تطبيق دبي ريست؟,يقدم التطبيق مجموعة واسعة من الخدمات، بما في ذلك:,"service, registration, rental, property, transaction, document, statistics"
Tabu,How can I register or transfer a property in Dubai through the app?,To register or transfer a property:,Dubai REST,كيف يمكنني تسجيل أو نقل ملكية عقار في دبي من خلال التطبيق؟,لتسجيل أو نقل ملكية عقار:,"register, transfer, digital sale, buy, sale, noqodi"
Tabu,Do I need to pay any fees to access my Title Deed in Dubai REST?,Accessing your Title Deed through the Dubai REST app is free of charge. You can view or download the document without any fees if you are the property owner or have the required access credentials.,Dubai REST,هل أحتاج إلى دفع أي رسوم للوصول إلى سند الملكية في دبي ريست؟,الوصول إلى سند الملكية عبر تطبيق دبي ريست مجاني. يمكنك عرض أو تحميل الوثيقة دون أي رسوم إذا كنت مالك العقار أو لديك بيانات الدخول المطلوبة.,"deed, charge, fee, pay"
Tabu,What documents do I need to upload for a property transaction?,"Depending on the service, you may need to upload the following documents:",Dubai REST,ما هي المستندات التي يجب عليّ رفعها لإتمام معاملة عقارية؟,بناءً على الخدمة، قد تحتاج إلى رفع المستندات التالية:,"document, contract, deed, proof, identification"
Tabu,How do I update the Title Deed if I change my name or there is an error in the other details?,"If there is an error in the Title Deed (e.g., spelling mistakes, incorrect property details, or an ownership change), you can request a correction from the Dubai Land Department. The steps to correct a Title Deed include:",Dubai REST,كيف يمكنني تحديث سند الملكية إذا قمت بتغيير اسمي أو إذا كان هناك خطأ في التفاصيل الأخرى؟,إذا كان هناك خطأ في سند الملكية (مثل أخطاء إملائية أو تفاصيل غير صحيحة عن العقار أو تغيير في الملكية)، يمكنك طلب تصحيح من دائرة الأراضي والأملاك. تشمل خطوات تصحيح سند الملكية ما يلي:,"deed, change, detail, correction, document, request"
Generic,Can I pay real estate fees and fines through the app?,"Yes, you can pay various fees, including property registration, transaction fees, and fines, directly through the Dubai REST app. The payment process is integrated with secure payment gateways like noqodi for easy and safe transactions.",Dubai REST,هل يمكنني دفع رسوم وغرامات العقارات من خلال التطبيق؟,نعم، يمكنك دفع مختلف الرسوم، بما في ذلك رسوم التسجيل العقاري ورسوم المعاملات والغرامات مباشرة من خلال تطبيق دبي ريست. عملية الدفع مدمجة مع بوابات دفع آمنة مثل نقودي لتسهيل المعاملات بشكل آمن وسهل.,"secure, payment, fine, fees, noqodi"
Generic,Can real estate agents use the Dubai REST app?,"Yes, real estate agents can use the Dubai REST app to:",Dubai REST,هل يمكن لوكلاء العقارات استخدام تطبيق دبي ريست؟,نعم، يمكن لوكلاء العقارات استخدام تطبيق دبي ريست لـ:,"agents, listing. facility, broker, contract, statistics, document, sale, rent"
Generic,What is the cost of using the Dubai REST app?,"Downloading and using the Dubai REST app is free. However, certain services, such as property registration, transfer, or payment of fines, may require a fee. The app provides detailed fee information before proceeding with any transaction.",Dubai REST,ما هي تكلفة استخدام تطبيق دبي ريست؟,تحميل واستخدام تطبيق دبي ريست مجاني. ومع ذلك، قد تتطلب  بعض الخدمات رسوما مثل تسجيل العقارات وتحويلها أو دفع الغرامات. يوفر التطبيق معلومات تفصيلية عن الرسوم قبل المضي قدماً في أي عملية.,"cost, fee, free"
Generic,Can I access my property documents through the Dubai REST app?,"Yes, users can request and view documents such as title deeds, tenancy contracts, and payment receipts through the app.",Dubai REST,هل يمكنني الوصول إلى مستندات ملكيتي من خلال تطبيق دبي ريست؟,نعم، يمكن للمستخدمين طلب وعرض المستندات مثل سندات الملكية أو عقود الإيجار أو إيصالات الدفع من خلال التطبيق.,"document, titledeed, tenancy, receipts"
Generic,Do I need to visit the Dubai Land Department (DLD) office to complete transactions?,"The app is designed to handle most real estate transactions digitally, reducing the need to visit DLD in person. However, certain complex transactions may still require physical verification or documents to be submitted at DLD offices.",Dubai REST,هل أحتاج إلى زيارة دائرة الأراضي والأملاك في دبي لإتمام المعاملات؟,التطبيق مصمم للتعامل مع معظم المعاملات العقارية بشكل رقمي مما يقلل الحاجة لزيارة دائرة الأراضي والأملاك شخصياً. ومع ذلك، قد تتطلب بعض المعاملات المعقدة التواجد شخصياً في الدائرة أو تقديم مستندات في مكاتب الدائرة.,"visit, office, digital, verification, complex, app"
Generic,Can I use the Dubai REST app if I am not a resident of Dubai?,"Yes, non-residents can also use the app for property transactions, investments, and services. However, certain services might require additional documentation, such as proof of residency or an authorized representative.",Dubai REST,هل يمكنني استخدام تطبيق دبي ريست إذا لم أكن مقيمًا في دبي؟,نعم، يمكن لغير المقيمين أيضًا استخدام التطبيق للمعاملات العقارية والاستثمار والخدمات، غير أن بعض الخدمات قد تتطلب وثائق إضافية مثل إثبات الإقامة أو وكيل معتمد.,"non-residence, login, authorize, UAEPass, deed"
Generic,How can I track the status of my property transaction?,"The app allows users to track the progress of their property transactions in real-time. You can check the status of your request, such as whether it is under review, approved, or pending.",Dubai REST,كيف يمكنني تتبع حالة المعاملة العقارية؟,يتيح التطبيق للمستخدمين تتبع حالة المعاملات العقارية في الوقت الفعلي. يمكنك التحقق من حالة الطلب ما إذا كان قيد المراجعة أو الانتظار أو إذا تمت الموافقة عليه.,"transaction, status, update, progress, pending, approve"
Generic,What should I do if I encounter a problem with the Dubai REST app?,"If you face any issues while using the app, you can:",Dubai REST,ماذا يجب أن أفعل إذا واجهت مشكلة في تطبيق دبي ريست؟,إذا واجهت أي مشاكل أثناء استخدام التطبيق، يمكنك:,"help, troubleshoot, faq, bug, issue, support, problem"
Generic,How Dubai REST app help with property investment?How,"The Dubai REST app is an official platform developed by the Dubai Land Department (DLD) to simplify real estate transactions in Dubai. For property investors, the app provides tools for searching properties, tracking market trends, completing transactions (including buying and selling), and accessing documents related to property ownership. Investors can easily manage their portfolios, make payments, and stay updated on market performance directly from the app.",Dubai REST,كيف يساعد تطبيق دبي ريست في الاستثمار العقاري؟,تطبيق دبي ريست هو منصة رسمية طورتها دائرة الأراضي والأملاك في دبي لتبسيط المعاملات العقارية في دبي. يوفر التطبيق للمستثمرين العقاريين أدوات للبحث عن العقارات وتتبع اتجاهات السوق وإتمام المعاملات (بما في ذلك الشراء والبيع) والوصول إلى المستندات المتعلقة بملكية العقارات. يمكن للمستثمرين إدارة محافظهم بسهولة كما يمكنهم سداد المدفوعات والبقاء على اطلاع دائم بأداء السوق مباشرة من خلال التطبيق.,"investment, track, ownership, buy, sell, status, project, manage"
Generic,Can I search for investment opportunities (properties for sale) on the Dubai REST app?,"Yes, the Dubai REST app allows you to search for properties available for sale in Dubai. The app offers filters to refine your search based on:",Dubai REST,هل يمكنني البحث عن فرص استثمارية (عقارات للبيع) عبر تطبيق دبي ريست؟,نعم، يتيح لك تطبيق دبي ريست البحث عن العقارات المتاحة للبيع في دبي. يوفر التطبيق خيارات تصفية لتخصيص البحث بناءً على:,"investment, status, property, listing"
Generic,Can I access property market data and analytics on the Dubai REST app?,"Yes, the app offers market data and statistics that can help investors make informed decisions.",Dubai REST,هل يمكنني الوصول إلى بيانات وتحليلات سوق العقارات عبر تطبيق دبي ريست؟,نعم، يوفر التطبيق بيانات السوق وإحصائيات تساعد المستثمرين على اتخاذ قرارات مدروسة.,"market, statistics, investor, listing"
Generic,Can I access and manage multiple properties within the Dubai REST app?,"Yes, the Dubai REST app allows users to manage multiple properties, making it an ideal tool for investors with diverse portfolios. You can:",Dubai REST,هل يمكنني الوصول إلى عدة عقارات وإدارتها داخل تطبيق دبي ريست؟,نعم، يتيح تطبيق دبي ريست للمستخدمين إدارة عدة عقارات، مما يجعله أداة مثالية للمستثمرين الذين لديهم محافظ متنوعة. يمكنك:,"manage, multiple, property, portfolio"
Generic,Is there a minimum or maximum investment amount when purchasing property through the app?,"There is no official minimum or maximum investment limit defined by the Dubai REST app itself. However, property investment amounts depend on the type of property, its location, and the market conditions. You should check the specific property listing for the price and ensure you have the financial capacity to make the investment.",Dubai REST,,,"investment, purchase, range, finance"
Generic,Can I get a mortgage or financing for a property through the Dubai REST app?,"Currently, the Dubai REST app does not offer direct mortgage services. However, the app allows you request to specific bank for mortgage quotation. Further, you would need to approach banks or financial institutions directly. The app may provide guidance on this process, but the financing itself would be handled externally.",Dubai REST,,,"mortgage, finance, quotation"
Ejari,What information does the Rental Index provide?,The Rental Index provides the following information:,Dubai REST,,,"rental, index, price, size, compare"
Ejari,Who can benefit from the Rental Index in the Dubai REST app?,The Rental Index is useful for:,Dubai REST,,,"rental, index, tenant, owner, landlord, agents, investor"
Ejari,How accurate is the Rental Index data in the Dubai REST app?,"The Rental Index is generated based on data from actual rental transactions in Dubai. The Dubai Land Department (DLD) aggregates this data from registered rental contracts, ensuring that the information is accurate and up-to-date. However, rental prices can fluctuate due to market demand, location, and property conditions, so the Rental Index should be used as a guide rather than a fixed value.",Dubai REST,,,"rental, index, data, accurate, fluctuate, demand, price, range"
Ejari,How often is the Rental Index updated in Dubai REST?,"The Rental Index in the Dubai REST app is updated regularly, typically on a monthly or quarterly basis, based on the latest market data and rental transactions registered with the Dubai Land Department (DLD). This ensures that the information remains relevant and reflects the most current market conditions.",Dubai REST,,,"rental, index, update, monthly, quarterly, transaction."
Ejari,Does the Rental Index include all types of properties in Dubai REST?,"Yes, the Rental Index covers a wide range of property types, including:",Dubai REST,,,"property, rental, index, residential, commercial, off-plan"
Ejari,How can register a new contract on property? if the option is not available in the Ejari services?,"To register a new ejari contract, need to check if property is marked as ""vacant"".",Dubai REST,,,"register, ejari, contract, create, expire"
Ejari,On which type of property can create Ejari through app?,"In Dubai REST app, units & villas are allowed for Ejari contracts.",Dubai REST,,,"ejari, unit, villa, contract"
Ejari,Can I get a rental valuation for any property in Dubai REST using RVS,"Yes, RVS provides valuations for a wide range of properties in the Dubai, including:",Dubai REST,,,"rvs, property"
Complaint (RVS),Can I Use Dubai REST for Commercial Property Valuation?,"Yes, once you receive the rentCan I Use Dubai REST for Commercial Property Valuation? valuation estimate, you can often download the report or take a screenshot for your reference. However, for formal or legal purposes, a certified valuation report would still be required, and you may need to hire a professional appraiser for that.",Dubai REST,,,
Complaint (RVS),"What is the ""Register Complaint"" feature in Dubai REST?","The Register Complaint feature in the Dubai REST app allows individuals (tenants, landlords, property owners, and others involved in real estate transactions) to officially file complaints regarding various real estate issues. Complaints can be related to:",Dubai REST,,,
Complaint,Who can register a complaint in Dubai REST?,"Anyone involved in a real estate transaction or property-related issue in Dubai can register a complaint, including:",Dubai REST,,,
Complaint,What if any real estate company is missing from Dubai REST list?,User can ask for card or license to the company to check for ORN number. or can contact to Dubai Land support to get details about the company.,Dubai REST,,,
Complaint,How will I know if my complaint has been received?,"The app will provide a tracking number for your complaint, which you can use to check its status.",Dubai REST,,,
Complaint,Can I edit or cancel my complaint after submission?,"Once a complaint is submitted through Dubai REST, you typically cannot edit or cancel it directly. However, if you need to make changes or provide additional information, you can contact the Dubai Land Department’s customer support or dispute resolution team to request updates or modifications to your complaint.",Dubai REST,,,
Complaint,How long does it take to resolve a complaint?,"The time it takes to resolve a complaint can vary depending on the complexity of the issue and the involved parties. Some complaints may be resolved within a few days, while more complex cases (e.g., legal disputes) may take longer.",Dubai REST,,,
Complaint,Can I file complaints anonymously?,"No, Dubai REST app, Register service form takes email and mobile number from the logged in user profile which is can not change or alter during the process. Also service needs verified email address of the user profile to proceed.",Dubai REST,,,
Complaint,What are the reasons for rejection of the complaint?,Mainly below facts can be the rejection marks:,Dubai REST,,,
Tabu,Can I verify the authenticity of my Title Deed?,"Yes, you can verify the authenticity of your Title Deed by checking the details with the Dubai Land Department.",Dubai REST,,,
Tabu,Can investor check owned property which is off-plan or not complete in Dubai REST app?,Yes. Investor can view property on dashboard. But few property transaction will not be allowed in the app.,Dubai REST,,,
Mollak - e-NOC,Can I use the e-NOC for multiple transactions or properties?,"No, an e-NOC is typically issued for a specific transaction or property. If you need an e-NOC for different properties or different types of transactions, you will need to submit separate requests for each case.",Dubai REST,,,
Mollak - e-NOC,Can I cancel an e-NOC request in app?,"Yes,",Dubai REST,,,
Project Status,What information is available under the Project Status feature?,The Project Status feature in the Dubai REST app provides the following key information:,Dubai REST,,,"project, developer, building, completion, construction, progress, phase"
Project Status,How often is the project status updated?,"The project status is updated regularly, but the frequency of updates depends on the information provided by the developers and the Dubai Land Department (DLD). Typically, updates include:",Dubai REST,,,
